Amazona aestiva
Brotogeris tirica
Celeus flavescens
Columba livia
Cyclarhis gujanensis
Empidonomus varius
Falco peregrinus
Forpus xanthopterygius
Hirundinea ferruginea
Legatus leucophaius
Megarynchus pitangua
Megascops choliba
Myiodynastes maculatus
Myiozetetes similis
Nyctidromus albicollis
Penelope obscura
Pitangus sulphuratus
Psittacara leucophthalmus
Pygochelidon cyanoleuca
Rupornis magnirostris
Setophaga pitiayumi
Sicalis flaveola
Stilpnia cayana
Synallaxis spixi
Tachyphonus coronatus
Thraupis palmarum
Thraupis sayaca
Troglodytes aedon
Turdus albicollis
Turdus leucomelas
Turdus rufiventris
Zonotrichia capensis
