Nyctidromus albicollis_Bacurau
Pitangus sulphuratus_Bem-te-vi
Rupornis magnirostris_Gavião-carijó
Penelope obscura_Jacuguaçu
Setophaga pitiayumi_Mariquita
Amazona aestiva_Papagaio-verdadeiro
Empidonomus varius_Peitica
Brotogeris tirica_Periquito-rico
Celeus flavescens_Pica-pau-de-cabeça-amarela
Turdus leucomelas_Sabiá-barranco
Thraupis palmarum_Sanhaço-do-coqueiro
Thraupis sayaca_Sanhaço-cinzento
Forpus xanthopterygius_Tuim
Cyclarhis gujanensis_Pitiguari
Ramphocelus bresilius_Tiê-sangue
Turdus albicollis_Sabiá-coleira
Turdus amaurochalinus_Sabiá-poca
Turdus flavipes_Sabiá-una
Turdus rufiventris_Sabiá-laranjeira
Turdus subalaris_Sabiá-ferreiro
Legatus leucophaius_Bem-te-vi-pirata
Myiodynastes maculatus_Bem-te-vi-rajado
Myiozetetes similis_Bentevizinho-de-penacho-vermelho
Stilpnia cayana_Saíra-amarela
Tachyphonus coronatus_Tiê-preto
Mimus saturninus_Sabiá-do-campo
Zonotrichia capensis_Tico-tico
Piaya cayana_Alma-de-gato
Chaetura meridionalis_Andorinhão-do-temporal
Crotophaga ani_Anu-preto
Guira guira_Anu-branco
Zenaida auriculata_Avoante
Machetornis rixosa_Suiriri-cavaleiro
Tyrannus melancholicus_Suiriri
Coereba flaveola_Cambacica
Thamnophilus caerulescens_Choca-da-mata
Asio clamator_Coruja-orelhuda
Athene cunicularia_Coruja-buraqueira
Megascops choliba_Corujinha-do-mato
Falco femoralis_Falcão-de-coleira
Caracara plancus_Carcará
Euphonia chlorotica_Fim-fim
Hirundinea ferruginea_Gibão-de-couro
Synallaxis spixi_João-teneném
Fluvicola nengeta_Lavadeira-mascarada
Passer domesticus_Pardal
Picumnus cirratus_Picapauzinho-barrado
Dryobates spilogaster_Pica-pau-verde-carijó
Dryocopus lineatus_Pica-pau-de-banda-branca
Melanerpes candidus_Pica-pau-branco
Basileuterus culicivorus_Pula-pula
Vanellus chilensis_Quero-quero
Columbina talpacoti_Rolinha-roxa
Volatinia jacarina_Tiziu
Saltator similis_Trinca-ferro
Ramphastos dicolorus_Tucano-de-bico-verde
Ramphastos toco_Tucanuçu
Ramphastos vitellinus_Tucano-de-bico-preto
Cathartes aura_Urubu-de-cabeça-vermelha
Coragyps atratus_Urubu-preto
